Mod:Item:MetaData, Localized Name
projectred-illumination:lamp:0, White Lamp
projectred-illumination:lamp:1, Orange Lamp
projectred-illumination:lamp:2, Magenta Lamp
projectred-illumination:lamp:3, Light Blue Lamp
projectred-illumination:lamp:4, Yellow Lamp
projectred-illumination:lamp:5, Lime Lamp
projectred-illumination:lamp:6, Pink Lamp
projectred-illumination:lamp:7, Grey Lamp
projectred-illumination:lamp:8, Light Grey Lamp
projectred-illumination:lamp:9, Cyan Lamp
projectred-illumination:lamp:10, Purple Lamp
projectred-illumination:lamp:11, Blue Lamp
projectred-illumination:lamp:12, Brown Lamp
projectred-illumination:lamp:13, Green Lamp
projectred-illumination:lamp:14, Red Lamp
projectred-illumination:lamp:15, Black Lamp
projectred-illumination:lamp:16, Inverted White Lamp
projectred-illumination:lamp:17, Inverted Orange Lamp
projectred-illumination:lamp:18, Inverted Magenta Lamp
projectred-illumination:lamp:19, Inverted Light Blue Lamp
projectred-illumination:lamp:20, Inverted Yellow Lamp
projectred-illumination:lamp:21, Inverted Lime Lamp
projectred-illumination:lamp:22, Inverted Pink Lamp
projectred-illumination:lamp:23, Inverted Grey Lamp
projectred-illumination:lamp:24, Inverted Light Grey Lamp
projectred-illumination:lamp:25, Inverted Cyan Lamp
projectred-illumination:lamp:26, Inverted Purple Lamp
projectred-illumination:lamp:27, Inverted Blue Lamp
projectred-illumination:lamp:28, Inverted Brown Lamp
projectred-illumination:lamp:29, Inverted Green Lamp
projectred-illumination:lamp:30, Inverted Red Lamp
projectred-illumination:lamp:31, Inverted Black Lamp
projectred-illumination:light_button:0, White Illumar Button
projectred-illumination:light_button:1, Orange Illumar Button
projectred-illumination:light_button:2, Magenta Illumar Button
projectred-illumination:light_button:3, Light Blue Illumar Button
projectred-illumination:light_button:4, Yellow Illumar Button
projectred-illumination:light_button:5, Lime Illumar Button
projectred-illumination:light_button:6, Pink Illumar Button
projectred-illumination:light_button:7, Grey Illumar Button
projectred-illumination:light_button:8, Light Grey Illumar Button
projectred-illumination:light_button:9, Cyan Illumar Button
projectred-illumination:light_button:10, Purple Illumar Button
projectred-illumination:light_button:11, Blue Illumar Button
projectred-illumination:light_button:12, Brown Illumar Button
projectred-illumination:light_button:13, Green Illumar Button
projectred-illumination:light_button:14, Red Illumar Button
projectred-illumination:light_button:15, Black Illumar Button
projectred-illumination:feedback_light_button:0, White Illumar Feedback Button
projectred-illumination:feedback_light_button:1, Orange Illumar Feedback Button
projectred-illumination:feedback_light_button:2, Magenta Illumar Feedback Button
projectred-illumination:feedback_light_button:3, Light Blue Illumar Feedback Button
projectred-illumination:feedback_light_button:4, Yellow Illumar Feedback Button
projectred-illumination:feedback_light_button:5, Lime Illumar Feedback Button
projectred-illumination:feedback_light_button:6, Pink Illumar Feedback Button
projectred-illumination:feedback_light_button:7, Grey Illumar Feedback Button
projectred-illumination:feedback_light_button:8, Light Grey Illumar Feedback Button
projectred-illumination:feedback_light_button:9, Cyan Illumar Feedback Button
projectred-illumination:feedback_light_button:10, Purple Illumar Feedback Button
projectred-illumination:feedback_light_button:11, Blue Illumar Feedback Button
projectred-illumination:feedback_light_button:12, Brown Illumar Feedback Button
projectred-illumination:feedback_light_button:13, Green Illumar Feedback Button
projectred-illumination:feedback_light_button:14, Red Illumar Feedback Button
projectred-illumination:feedback_light_button:15, Black Illumar Feedback Button
projectred-illumination:lantern:0, White Lantern
projectred-illumination:lantern:1, Orange Lantern
projectred-illumination:lantern:2, Magenta Lantern
projectred-illumination:lantern:3, Light Blue Lantern
projectred-illumination:lantern:4, Yellow Lantern
projectred-illumination:lantern:5, Lime Lantern
projectred-illumination:lantern:6, Pink Lantern
projectred-illumination:lantern:7, Grey Lantern
projectred-illumination:lantern:8, Light Grey Lantern
projectred-illumination:lantern:9, Cyan Lantern
projectred-illumination:lantern:10, Purple Lantern
projectred-illumination:lantern:11, Blue Lantern
projectred-illumination:lantern:12, Brown Lantern
projectred-illumination:lantern:13, Green Lantern
projectred-illumination:lantern:14, Red Lantern
projectred-illumination:lantern:15, Black Lantern
projectred-illumination:inverted_lantern:0, Inverted White Lantern
projectred-illumination:inverted_lantern:1, Inverted Orange Lantern
projectred-illumination:inverted_lantern:2, Inverted Magenta Lantern
projectred-illumination:inverted_lantern:3, Inverted Light Blue Lantern
projectred-illumination:inverted_lantern:4, Inverted Yellow Lantern
projectred-illumination:inverted_lantern:5, Inverted Lime Lantern
projectred-illumination:inverted_lantern:6, Inverted Pink Lantern
projectred-illumination:inverted_lantern:7, Inverted Grey Lantern
projectred-illumination:inverted_lantern:8, Inverted Light Grey Lantern
projectred-illumination:inverted_lantern:9, Inverted Cyan Lantern
projectred-illumination:inverted_lantern:10, Inverted Purple Lantern
projectred-illumination:inverted_lantern:11, Inverted Blue Lantern
projectred-illumination:inverted_lantern:12, Inverted Brown Lantern
projectred-illumination:inverted_lantern:13, Inverted Green Lantern
projectred-illumination:inverted_lantern:14, Inverted Red Lantern
projectred-illumination:inverted_lantern:15, Inverted Black Lantern
projectred-illumination:fixture_light:0, White Fixture
projectred-illumination:fixture_light:1, Orange Fixture
projectred-illumination:fixture_light:2, Magenta Fixture
projectred-illumination:fixture_light:3, Light Blue Fixture
projectred-illumination:fixture_light:4, Yellow Fixture
projectred-illumination:fixture_light:5, Lime Fixture
projectred-illumination:fixture_light:6, Pink Fixture
projectred-illumination:fixture_light:7, Grey Fixture
projectred-illumination:fixture_light:8, Light Grey Fixture
projectred-illumination:fixture_light:9, Cyan Fixture
projectred-illumination:fixture_light:10, Purple Fixture
projectred-illumination:fixture_light:11, Blue Fixture
projectred-illumination:fixture_light:12, Brown Fixture
projectred-illumination:fixture_light:13, Green Fixture
projectred-illumination:fixture_light:14, Red Fixture
projectred-illumination:fixture_light:15, Black Fixture
projectred-illumination:inverted_fixture_light:0, Inverted White Fixture
projectred-illumination:inverted_fixture_light:1, Inverted Orange Fixture
projectred-illumination:inverted_fixture_light:2, Inverted Magenta Fixture
projectred-illumination:inverted_fixture_light:3, Inverted Light Blue Fixture
projectred-illumination:inverted_fixture_light:4, Inverted Yellow Fixture
projectred-illumination:inverted_fixture_light:5, Inverted Lime Fixture
projectred-illumination:inverted_fixture_light:6, Inverted Pink Fixture
projectred-illumination:inverted_fixture_light:7, Inverted Grey Fixture
projectred-illumination:inverted_fixture_light:8, Inverted Light Grey Fixture
projectred-illumination:inverted_fixture_light:9, Inverted Cyan Fixture
projectred-illumination:inverted_fixture_light:10, Inverted Purple Fixture
projectred-illumination:inverted_fixture_light:11, Inverted Blue Fixture
projectred-illumination:inverted_fixture_light:12, Inverted Brown Fixture
projectred-illumination:inverted_fixture_light:13, Inverted Green Fixture
projectred-illumination:inverted_fixture_light:14, Inverted Red Fixture
projectred-illumination:inverted_fixture_light:15, Inverted Black Fixture
projectred-illumination:fallout_lamp:0, White Fallout Light
projectred-illumination:fallout_lamp:1, Orange Fallout Light
projectred-illumination:fallout_lamp:2, Magenta Fallout Light
projectred-illumination:fallout_lamp:3, Light Blue Fallout Light
projectred-illumination:fallout_lamp:4, Yellow Fallout Light
projectred-illumination:fallout_lamp:5, Lime Fallout Light
projectred-illumination:fallout_lamp:6, Pink Fallout Light
projectred-illumination:fallout_lamp:7, Grey Fallout Light
projectred-illumination:fallout_lamp:8, Light Grey Fallout Light
projectred-illumination:fallout_lamp:9, Cyan Fallout Light
projectred-illumination:fallout_lamp:10, Purple Fallout Light
projectred-illumination:fallout_lamp:11, Blue Fallout Light
projectred-illumination:fallout_lamp:12, Brown Fallout Light
projectred-illumination:fallout_lamp:13, Green Fallout Light
projectred-illumination:fallout_lamp:14, Red Fallout Light
projectred-illumination:fallout_lamp:15, Black Fallout Light
projectred-illumination:inverted_fallout_lamp:0, Inverted White Fallout Light
projectred-illumination:inverted_fallout_lamp:1, Inverted Orange Fallout Light
projectred-illumination:inverted_fallout_lamp:2, Inverted Magenta Fallout Light
projectred-illumination:inverted_fallout_lamp:3, Inverted Light Blue Fallout Light
projectred-illumination:inverted_fallout_lamp:4, Inverted Yellow Fallout Light
projectred-illumination:inverted_fallout_lamp:5, Inverted Lime Fallout Light
projectred-illumination:inverted_fallout_lamp:6, Inverted Pink Fallout Light
projectred-illumination:inverted_fallout_lamp:7, Inverted Grey Fallout Light
projectred-illumination:inverted_fallout_lamp:8, Inverted Light Grey Fallout Light
projectred-illumination:inverted_fallout_lamp:9, Inverted Cyan Fallout Light
projectred-illumination:inverted_fallout_lamp:10, Inverted Purple Fallout Light
projectred-illumination:inverted_fallout_lamp:11, Inverted Blue Fallout Light
projectred-illumination:inverted_fallout_lamp:12, Inverted Brown Fallout Light
projectred-illumination:inverted_fallout_lamp:13, Inverted Green Fallout Light
projectred-illumination:inverted_fallout_lamp:14, Inverted Red Fallout Light
projectred-illumination:inverted_fallout_lamp:15, Inverted Black Fallout Light
projectred-illumination:cage_lamp:0, White Cage Lamp
projectred-illumination:cage_lamp:1, Orange Cage Lamp
projectred-illumination:cage_lamp:2, Magenta Cage Lamp
projectred-illumination:cage_lamp:3, Light Blue Cage Lamp
projectred-illumination:cage_lamp:4, Yellow Cage Lamp
projectred-illumination:cage_lamp:5, Lime Cage Lamp
projectred-illumination:cage_lamp:6, Pink Cage Lamp
projectred-illumination:cage_lamp:7, Grey Cage Lamp
projectred-illumination:cage_lamp:8, Light Grey Cage Lamp
projectred-illumination:cage_lamp:9, Cyan Cage Lamp
projectred-illumination:cage_lamp:10, Purple Cage Lamp
projectred-illumination:cage_lamp:11, Blue Cage Lamp
projectred-illumination:cage_lamp:12, Brown Cage Lamp
projectred-illumination:cage_lamp:13, Green Cage Lamp
projectred-illumination:cage_lamp:14, Red Cage Lamp
projectred-illumination:cage_lamp:15, Black Cage Lamp
projectred-illumination:inverted_cage_lamp:0, Inverted White Cage Lamp
projectred-illumination:inverted_cage_lamp:1, Inverted Orange Cage Lamp
projectred-illumination:inverted_cage_lamp:2, Inverted Magenta Cage Lamp
projectred-illumination:inverted_cage_lamp:3, Inverted Light Blue Cage Lamp
projectred-illumination:inverted_cage_lamp:4, Inverted Yellow Cage Lamp
projectred-illumination:inverted_cage_lamp:5, Inverted Lime Cage Lamp
projectred-illumination:inverted_cage_lamp:6, Inverted Pink Cage Lamp
projectred-illumination:inverted_cage_lamp:7, Inverted Grey Cage Lamp
projectred-illumination:inverted_cage_lamp:8, Inverted Light Grey Cage Lamp
projectred-illumination:inverted_cage_lamp:9, Inverted Cyan Cage Lamp
projectred-illumination:inverted_cage_lamp:10, Inverted Purple Cage Lamp
projectred-illumination:inverted_cage_lamp:11, Inverted Blue Cage Lamp
projectred-illumination:inverted_cage_lamp:12, Inverted Brown Cage Lamp
projectred-illumination:inverted_cage_lamp:13, Inverted Green Cage Lamp
projectred-illumination:inverted_cage_lamp:14, Inverted Red Cage Lamp
projectred-illumination:inverted_cage_lamp:15, Inverted Black Cage Lamp
projectred-expansion:solar_panel, Solar Panel
projectred-expansion:empty_battery, Battery
projectred-expansion:charged_battery, Battery
projectred-expansion:jetpack, Jetpack
projectred-expansion:electric_screwdriver, Electric Screwdriver
projectred-expansion:infused_ender_pearl, Infused Ender Pearl
projectred-expansion:plan, Recipe Plan
projectred-expansion:machine1:0, Inductive Furnace
projectred-expansion:machine1:1, Electrotine Generator
projectred-expansion:machine2:0, Block Breaker
projectred-expansion:machine2:1, Item Importer
projectred-expansion:machine2:2, Block Placer
projectred-expansion:machine2:3, Filtered Importer
projectred-expansion:machine2:4, Fire Starter
projectred-expansion:machine2:5, Battery Box
projectred-expansion:machine2:6, Charging Bench
projectred-expansion:machine2:7, Teleposer
projectred-expansion:machine2:8, Frame Motor
projectred-expansion:machine2:9, Frame Linear Actuator
projectred-expansion:machine2:10, Project Bench
projectred-expansion:machine2:11, Auto Crafting Bench
projectred-expansion:machine2:12, Diamond Block Breaker
projectred-relocation:frame, Frame
projectred-transportation:pipe:0, Item Transport pipe
projectred-transportation:pipe:1, Routed Junction pipe
projectred-transportation:pipe:2, Routed Interface pipe
projectred-transportation:pipe:3, Routed Request pipe
projectred-transportation:pipe:4, Routed Firewall pipe
projectred-transportation:pipe:32, Network Valve pipe
projectred-transportation:pipe:33, Network Latency pipe
projectred-transportation:pipe:64, Pressure tube
projectred-transportation:pipe:65, Pressure Resistance tube
projectred-transportation:routing_chip:0, Item Responder chip
projectred-transportation:routing_chip:1, Dynamic Item Responder chip
projectred-transportation:routing_chip:2, Item Overflow Responder chip
projectred-transportation:routing_chip:3, Item Terminator chip
projectred-transportation:routing_chip:4, Item Extractor chip
projectred-transportation:routing_chip:5, Item Broadcaster chip
projectred-transportation:routing_chip:6, Item Stock Keeper chip
projectred-transportation:routing_chip:7, Item Crafting chip
projectred-transportation:routing_chip:8, Item Crafting Extension chip
projectred-transportation:router_utility, Router Utility
projectred-exploration:wool_gin, Wool Gin
projectred-exploration:backpack:0, White Backpack
projectred-exploration:backpack:1, Orange Backpack
projectred-exploration:backpack:2, Magenta Backpack
projectred-exploration:backpack:3, Light Blue Backpack
projectred-exploration:backpack:4, Yellow Backpack
projectred-exploration:backpack:5, Lime Backpack
projectred-exploration:backpack:6, Pink Backpack
projectred-exploration:backpack:7, Grey Backpack
projectred-exploration:backpack:8, Light Grey Backpack
projectred-exploration:backpack:9, Cyan Backpack
projectred-exploration:backpack:10, Purple Backpack
projectred-exploration:backpack:11, Blue Backpack
projectred-exploration:backpack:12, Brown Backpack
projectred-exploration:backpack:13, Green Backpack
projectred-exploration:backpack:14, Red Backpack
projectred-exploration:backpack:15, Black Backpack
projectred-exploration:athame, Athame
projectred-exploration:ore:0, Ruby Ore
projectred-exploration:ore:1, Sapphire Ore
projectred-exploration:ore:2, Peridot Ore
projectred-exploration:ore:3, Copper Ore
projectred-exploration:ore:4, Tin Ore
projectred-exploration:ore:5, Silver Ore
projectred-exploration:ore:6, Electrotine Ore
projectred-exploration:stone:0, Marble
projectred-exploration:stone:1, Marble Brick
projectred-exploration:stone:2, Basalt Cobblestone
projectred-exploration:stone:3, Basalt
projectred-exploration:stone:4, Basalt Brick
projectred-exploration:stone:5, Block of Ruby
projectred-exploration:stone:6, Block of Sapphire
projectred-exploration:stone:7, Block of Peridot
projectred-exploration:stone:8, Block of Copper
projectred-exploration:stone:9, Block of Tin
projectred-exploration:stone:10, Block of Silver
projectred-exploration:stone:11, Block of Electrotine
projectred-exploration:stone_wall:0, Marble Wall
projectred-exploration:stone_wall:1, Marble Brick Wall
projectred-exploration:stone_wall:2, Basalt Cobblestone Wall
projectred-exploration:stone_wall:3, Basalt Wall
projectred-exploration:stone_wall:4, Basalt Brick Wall
projectred-exploration:stone_wall:5, Ruby Wall
projectred-exploration:stone_wall:6, Sapphire Wall
projectred-exploration:stone_wall:7, Peridot Wall
projectred-exploration:stone_wall:8, Copper Wall
projectred-exploration:stone_wall:9, Tin Wall
projectred-exploration:stone_wall:10, Silver Wall
projectred-exploration:stone_wall:11, Electrotine Wall
projectred-exploration:barrel:0, Item Barrel
projectred-exploration:ruby_axe, Ruby Axe
projectred-exploration:sapphire_axe, Sapphire Axe
projectred-exploration:peridot_axe, Peridot Axe
projectred-exploration:ruby_hoe, Ruby Hoe
projectred-exploration:sapphire_hoe, Sapphire Hoe
projectred-exploration:peridot_hoe, Peridot Hoe
projectred-exploration:ruby_pickaxe, Ruby Pickaxe
projectred-exploration:sapphire_pickaxe, Sapphire Pickaxe
projectred-exploration:peridot_pickaxe, Peridot Pickaxe
projectred-exploration:ruby_shovel, Ruby Shovel
projectred-exploration:sapphire_shovel, Sapphire Shovel
projectred-exploration:peridot_shovel, Peridot Shovel
projectred-exploration:ruby_sword, Ruby Sword
projectred-exploration:sapphire_sword, Sapphire Sword
projectred-exploration:peridot_sword, Peridot Sword
projectred-exploration:golden_saw, Golden Saw
projectred-exploration:ruby_saw, Ruby Saw
projectred-exploration:sapphire_saw, Sapphire Saw
projectred-exploration:peridot_saw, Peridot Saw
projectred-exploration:wooden_sickle, Wooden Sickle
projectred-exploration:stone_sickle, Stone Sickle
projectred-exploration:iron_sickle, Iron Sickle
projectred-exploration:golden_sickle, Golden Sickle
projectred-exploration:ruby_sickle, Ruby Sickle
projectred-exploration:sapphire_sickle, Sapphire Sickle
projectred-exploration:peridot_sickle, Peridot Sickle
projectred-exploration:diamond_sickle, Diamond Sickle
projectred-exploration:ruby_helmet, Ruby Helmet
projectred-exploration:ruby_chestplate, Ruby Chestplate
projectred-exploration:ruby_leggings, Ruby Leggings
projectred-exploration:ruby_boots, Ruby Boots
projectred-exploration:sapphire_helmet, Sapphire Helmet
projectred-exploration:sapphire_chestplate, Sapphire Chestplate
projectred-exploration:sapphire_leggings, Sapphire Leggings
projectred-exploration:sapphire_boots, Sapphire Boots
projectred-exploration:peridot_helmet, Peridot Helmet
projectred-exploration:peridot_chestplate, Peridot Chestplate
projectred-exploration:peridot_leggings, Peridot Leggings
projectred-exploration:peridot_boots, Peridot Boots
thaumadditions:mithrillium_nugget, Mithrillium Nugget
thaumadditions:adaminite_nugget, Adaminite Nugget
thaumadditions:mithrillium_ingot, Mithrillium Ingot
thaumadditions:adaminite_ingot, Adaminite Ingot
thaumadditions:mithminite_ingot, Mithminite Ingot
thaumadditions:mithrillium_plate, Mithrillium Plate
thaumadditions:adaminite_plate, Adaminite Plate
thaumadditions:mithminite_plate, Mithminite Plate
thaumadditions:seal_globe, Seal Globe
thaumadditions:odour_powder, Odour Powder
thaumadditions:zeith_scale, Zeitheron's Curiosity
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:dna_sample, Entity Cell
thaumadditions:recharge_charm, Recharge Charm
thaumadditions:seal_symbol, Seal Symbol: @ASPECT
thaumadditions:knowledge_tome, Tome of Sharing
thaumadditions:fragnant_pendant, Fragnant Pendant
thaumadditions:chester, Chester
thaumadditions:bone_eye, Bone-eye
thaumadditions:crafting_furnace, Crafting Furnace
thaumadditions:mithrillium_smelter, Mithrillium Smeltery
thaumadditions:adaminite_smelter, Adaminite Smeltery
thaumadditions:mithminite_smelter, Mithminite Smeltery
thaumadditions:aura_disperser, Aura Disperser
thaumadditions:aspect_combiner, Essentia Combiner
thaumadditions:aura_charger, Aura Charger
thaumadditions:crystal_crusher, Crystal Crusher
thaumadditions:crystal_bore, Crystal Bore
thaumadditions:entity_summoner, Entity Summoner
thaumadditions:puriflower, Puriflower
thaumadditions:crystal_block, @ASPECT Crystal Block
thaumadditions:cake, Arcane Cake
thaumadditions:dawn_totem, Totem of Dawn
thaumadditions:twilight_totem, Twilight Totem
thaumadditions:growth_chamber, Crystal Growth Chamber
thaumadditions:seal, Arcane Seal
thaumadditions:jar_brass, Brass Warded Jar
thaumadditions:jar_thaumium, Thaumium Reinforced Jar
thaumadditions:jar_eldritch, Void Foritified Jar
thaumadditions:jar_mithrillium, Mithrillium Reinforced Jar
thaumadditions:jar_adaminite, Adaminite Foritified Jar
thaumadditions:jar_mithminite, Mithminite Jar
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
thermaldynamics:duct_0:7, Signalum Fluxduct (Empty)
thermaldynamics:duct_0:8, Resonant Fluxduct (Empty)
thermaldynamics:duct_0:9, Cryo-Stabilized Fluxduct (Empty)
thermaldynamics:duct_16:0, Fluiduct
thermaldynamics:duct_16:1, Fluiduct (Opaque)
thermaldynamics:duct_16:2, Hardened Fluiduct
thermaldynamics:duct_16:3, Hardened Fluiduct (Opaque)
thermaldynamics:duct_16:4, Signalum-Plated Fluiduct
thermaldynamics:duct_16:5, Signalum-Plated Fluiduct (Opaque)
thermaldynamics:duct_16:6, Super-Laminar Fluiduct
thermaldynamics:duct_16:7, Super-Laminar Fluiduct (Opaque)
thermaldynamics:duct_32:0, Vacuum Itemduct
thermaldynamics:duct_32:0, Dense Itemduct
thermaldynamics:duct_32:0, Itemduct
thermaldynamics:duct_32:1, Vacuum Itemduct (Opaque)
thermaldynamics:duct_32:1, Dense Itemduct (Opaque)
thermaldynamics:duct_32:1, Itemduct (Opaque)
thermaldynamics:duct_32:2, Vacuum Impulse Itemduct
thermaldynamics:duct_32:2, Dense Impulse Itemduct
thermaldynamics:duct_32:2, Impulse Itemduct
thermaldynamics:duct_32:3, Vacuum Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Dense Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Impulse Itemduct (Opaque)
thermaldynamics:duct_32:4, Vacuum Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Dense Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Signalum-Plated Itemduct
thermaldynamics:duct_32:5, Vacuum Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Dense Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:6, Vacuum Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Dense Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:7, Vacuum Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Dense Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_48:0, Structuralduct
thermaldynamics:duct_64:0, Viaduct
thermaldynamics:duct_64:1, Long Range Viaduct
thermaldynamics:duct_64:2, Long Range Linking Viaduct
thermaldynamics:duct_64:3, Viaduct (Untreated)
thermaldynamics:servo:0, Servo
thermaldynamics:servo:1, Hardened Servo
thermaldynamics:servo:2, Reinforced Servo
thermaldynamics:servo:3, Signalum Servo
thermaldynamics:servo:4, Resonant Servo
thermaldynamics:filter:0, Filter
thermaldynamics:filter:1, Hardened Filter
thermaldynamics:filter:2, Reinforced Filter
thermaldynamics:filter:3, Signalum Filter
thermaldynamics:filter:4, Resonant Filter
thermaldynamics:retriever:0, Retriever
thermaldynamics:retriever:1, Hardened Retriever
thermaldynamics:retriever:2, Reinforced Retriever
thermaldynamics:retriever:3, Signalum Retriever
thermaldynamics:retriever:4, Resonant Retriever
thermaldynamics:relay:0, Redstone Relay
thermaldynamics:cover:0, Stone Cover
thermaldynamics:cover:0, Granite Cover
thermaldynamics:cover:0, Polished Granite Cover
thermaldynamics:cover:0, Diorite Cover
thermaldynamics:cover:0, Polished Diorite Cover
thermaldynamics:cover:0, Andesite Cover
thermaldynamics:cover:0, Polished Andesite Cover
thermaldynamics:cover:0, Grass Block Cover
thermaldynamics:cover:0, Dirt Cover
thermaldynamics:cover:0, Coarse Dirt Cover
thermaldynamics:cover:0, Podzol Cover
thermaldynamics:cover:0, Cobblestone Cover
thermaldynamics:cover:0, Oak Wood Planks Cover
thermaldynamics:cover:0, Spruce Wood Planks Cover
thermaldynamics:cover:0, Birch Wood Planks Cover
thermaldynamics:cover:0, Jungle Wood Planks Cover
thermaldynamics:cover:0, Acacia Wood Planks Cover
thermaldynamics:cover:0, Dark Oak Wood Planks Cover
thermaldynamics:cover:0, Bedrock Cover
thermaldynamics:cover:0, Sand Cover
thermaldynamics:cover:0, Red Sand Cover
thermaldynamics:cover:0, Gravel Cover
thermaldynamics:cover:0, Gold Ore Cover
thermaldynamics:cover:0, Iron Ore Cover
thermaldynamics:cover:0, Coal Ore Cover
thermaldynamics:cover:0, Oak Wood Cover
thermaldynamics:cover:0, Spruce Wood Cover
thermaldynamics:cover:0, Birch Wood Cover
thermaldynamics:cover:0, Jungle Wood Cover
thermaldynamics:cover:0, Oak Leaves Cover
thermaldynamics:cover:0, Spruce Leaves Cover
thermaldynamics:cover:0, Birch Leaves Cover
thermaldynamics:cover:0, Jungle Leaves Cover
thermaldynamics:cover:0, Sponge Cover
thermaldynamics:cover:0, Wet Sponge Cover
thermaldynamics:cover:0, Glass Cover
thermaldynamics:cover:0, Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Lapis Lazuli Block Cover
thermaldynamics:cover:0, Sandstone Cover
thermaldynamics:cover:0, Chiseled Sandstone Cover
thermaldynamics:cover:0, Smooth Sandstone Cover
thermaldynamics:cover:0, Grass Cover
thermaldynamics:cover:0, White Wool Cover
thermaldynamics:cover:0, Orange Wool Cover
thermaldynamics:cover:0, Magenta Wool Cover
thermaldynamics:cover:0, Light Blue Wool Cover
thermaldynamics:cover:0, Yellow Wool Cover
thermaldynamics:cover:0, Lime Wool Cover
thermaldynamics:cover:0, Pink Wool Cover
thermaldynamics:cover:0, Gray Wool Cover
thermaldynamics:cover:0, Light Gray Wool Cover
thermaldynamics:cover:0, Cyan Wool Cover
thermaldynamics:cover:0, Purple Wool Cover
thermaldynamics:cover:0, Blue Wool Cover
thermaldynamics:cover:0, Brown Wool Cover
thermaldynamics:cover:0, Green Wool Cover
thermaldynamics:cover:0, Red Wool Cover
thermaldynamics:cover:0, Black Wool Cover
thermaldynamics:cover:0, Block of Gold Cover
thermaldynamics:cover:0, Block of Iron Cover
thermaldynamics:cover:0, Stone Slab Cover
thermaldynamics:cover:0, Sandstone Slab Cover
thermaldynamics:cover:0, Cobblestone Slab Cover
thermaldynamics:cover:0, Bricks Slab Cover
thermaldynamics:cover:0, Stone Bricks Slab Cover
thermaldynamics:cover:0, Nether Brick Slab Cover
thermaldynamics:cover:0, Quartz Slab Cover
thermaldynamics:cover:0, Bricks Cover
thermaldynamics:cover:0, TNT Cover
thermaldynamics:cover:0, Bookshelf Cover
thermaldynamics:cover:0, Moss Stone Cover
thermaldynamics:cover:0, Obsidian Cover
